MenuItemNumber,Category,Name,Description,Price,Image
55,Vegetable Dishes,Aloo Mutter,Green peas and potatoes cooked in a special sauce,$8.99,aloo-matar
56,Vegetable Dishes,Malai Kofta,"Dumplings of cottage cheese, potatoes, dry fruits sauteed in a rich sauce of cashew nuts & Spanish saffron",$8.99,malai-kofta
57,Vegetable Dishes,Chana Masala,"Garbanzo/chick pea beans prepared with a blend of pomegranate seeds, dry mango, carom (ajwain), black peppercorns and garnished with & ginger juliennes",$8.99,chana-masala
58,Vegetable Dishes,Dal Makhani,"An all time favorite; black lentils slow cooked with tomatoes, ginger, garlic, spices & tempered with cumin seeds",$7.99,"dal-makhani,ÿdal-makhani-2"
59,Vegetable Dishes,Dal Tadka,"Split yellow lentils cooked with tomato, ginger, garlic, turmeric, cilantro, mustard seeds & curry leaves",$7.99,dal-tadka
60,Biryanis,Veg. Biryani,"Saffron flavored basmati rice cooked with fresh vegetables, special blend of spices & fresh herbsÿ",$7.99,
62,Biryanis,Chicken Biryani,"Saffron flavored basmati rice cooked with chicken, special blend of spices & fresh herbsÿ",$9.99,"chicken-biryani,ÿchicken-biryani-2"
63,Biryanis,Lamb Biryani,"Saffron flavored basmati rice cooked with lamb, special blend of spices & fresh herbsÿ",$10.99,
64,Biryanis,Goat Biryani,"Saffron flavored basmati rice cooked with goat, special blend of spices & fresh herbsÿ",$13.99,
65,Biryanis,Shrimp Biryani,"Saffron flavored basmati rice cooked with shrimp, special blend of spices & fresh herbsÿ",$13.99,
66,Tandoor Magic,Chicken Tandoori,Chicken on the bone marinated in spices & yogurtÿ ÿ ÿ ÿ ÿ ÿ,$10.99,chicken-tandoori
67,Tandoor Magic,Chicken Tikka,"Boneless chicken breast chopped in pieces, marinated in spices & yogurt.",$10.99,
68,Tandoor Magic,Paneer Tikka,"Indian cottage cheese chopped inÿpieces, marinated in spices & yogurt.",$10.99,paneer-tikka
69,Tandoor Magic,Shrimp Tikka,Grilled shrimp marinated in spicesÿ& yogurt,$12.99,
70,Tandoor Magic,Sheekh Kabab,Minced lamb with mild spiced &ÿgrilled on skewers,$12.99,sheekh-kabab
71,Tandoor Magic,Boti Kabab,"Chunks of fresh lamb marinatedÿin spices & yogurt, grilled onÿ",$12.99,boti-kabab
72,Indian Bread,Plain Paratha,Oven Baked Indian bread (wheat flour),$2.50,
73,Indian Bread,Aloo Paratha,Bread stuffed with potatoes,$3.00,
74,Indian Bread,Gobi Paratha,Bread stuffed with cauliflower,$3.00,
75,Indian Bread,Paneer Paratha,Bread stuffed with paneer,$4.00,
76,Indian Bread,Plain Naan,Leavened bread baked in tandoor,$2.50,
77,Indian Bread,Garlic Naan,Naan stuffed with garlic,$3.00,
78,Indian Bread,Onion Naan,Naan stuffed with diced redÿonions,$3.00,
79,Indian Bread,Paneer Naan,Naan stuffed with paneer,$4.50,
80,Indian Bread,Chicken Naan,Naan stuffed with spiced ground chicken,$4.50,
81,Indian Bread,Keema Naan,Naane stuffed with spiced ground lamb,$4.50,
82,Indian Bread,Kabuli Naan,Naan stuffed with raisins and nuts,$4.50,
83,Thalis,Vegetarian,"1 Veg Appetizer, 1 Paneer Dish, 1ÿVegetable, Dal, Basmati rice,ÿNaan, Raita & Rice Pudding.",$12.99,veg-thali
84,Thalis,Non-Vegetarian,"1 Chicken Appetizer, 1 Chicken orÿLamb dish, 1 Vegetable, Dal,ÿBasmati rice, Naan, Raita &?RiceÿPudding.",$15.99,
85,Thalis,Chaat,"Gol Gappa, Bhel Puri, Sev PotatoÿDahi Puri, Choice of Aloo Tikki orÿSamosa Chaat & Rice Pudding.",$12.99,
86,Kidz Corner,Chicken Nuggets,,$2.99,
87,Kidz Corner,Grilled Cheese,,$2.99,
88,Kidz Corner,French Fries,,$2.99,
89,Kidz Corner,PB&J Roll,,$2.99,
90,Beverages,Chai Tea,"Mixture of Indian tea, milk, aromatic spices and herbs.",$2.00,chai-tea
91,Beverages,Coffee,Mixture of frothed and boiled milk with finely ground coffee powder,$2.00,
96,Beverages,Cold Coffee,Iced mixture of frothed and boiled milk with finely ground coffee powderÿ,$3.99,
94,Beverages,Sweet Lassi,"Mixture of yogurt, water & sugar.",$2.99,
93,Beverages,Salty Lassi,"Mixture of yogurt, water & salt.",$2.99,
92,Beverages,Mango Lassi,"Mixture of yogurt, water, sugar & mango shake.",$2.99,mango-lassi
95,Beverages,Soft Drinks,"Classic soft drinks: Thumbs Up, Limca, Pepsi, Coke",$2.00,soft-drinks
97,Beverages,Mango Shake,"Mixture of riped mango pieces, milkÿ& sugar",$3.99,
98,Beverages,Masala Soda,Club soda with exotic spices & herbs,$3.99,
